,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,51,31,.622,—,111.8,104.5,7.02,1991,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,1991,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,1991,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,1991,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,1991,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1991,Central Division
6,51,31,.622,—,115.5,112.1,3.22,1991,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,1991,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,1991,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,1991,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,1991,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1991,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,1991,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,1991,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,1991,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,1991,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,1991,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1991,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,1991,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,1991,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,1991,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,1991,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,1991,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1991,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,1991,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,1991,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,1991,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,1991,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,1991,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1991,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,1991,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,1991,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,1991,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,1991,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,1991,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,1992,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,1992,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,1992,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,1992,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,1992,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1992,Central Division
6,51,31,.622,—,115.5,112.1,3.22,1992,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,1992,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,1992,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,1992,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,1992,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1992,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,1992,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,1992,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,1992,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,1992,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,1992,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1992,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,1992,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,1992,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,1992,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,1992,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,1992,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1992,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,1992,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,1992,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,1992,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,1992,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,1992,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1992,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,1992,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,1992,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,1992,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,1992,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,1992,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,1993,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,1993,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,1993,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,1993,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,1993,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1993,Central Division
6,51,31,.622,—,115.5,112.1,3.22,1993,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,1993,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,1993,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,1993,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,1993,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1993,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,1993,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,1993,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,1993,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,1993,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,1993,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1993,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,1993,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,1993,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,1993,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,1993,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,1993,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1993,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,1993,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,1993,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,1993,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,1993,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,1993,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1993,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,1993,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,1993,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,1993,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,1993,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,1993,Houston Rockets
